nif,nome,telefone,morada,especialidade
129141777,Gonçalo Machado-Paiva,968642798,"Praça de Abreu 5, 8148-589 Valongo",clínica geral
363170669,Constança Ramos,933580696,"Praça de Gomes 9, 9282-406 Porto Santo",clínica geral
107439150,Francisco Moreira,966599173,"Avenida de Baptista 89, 6474-575 Serpa",clínica geral
200806360,Duarte Neves,964062642,"Rua de Marques 1, 4529-464 Santa Comba Dão",clínica geral
183778353,Madalena Santos,961905468,"Praça de Cunha 776, 1232-301 Felgueiras",clínica geral
237406812,Rita Rocha,934274727,"Rua João Glama 91, 6908-386 Angra do Heroísmo",clínica geral
241586834,Frederico da Mota,968048196,"Travessa Sousa 82, 3161-748 Rebordosa",clínica geral
249786907,Emma Torres,961517028,"Rua Macedo 33, 6847-839 Tarouca",clínica geral
336625851,Íris Pacheco,912164943,"Travessa de Antunes 57, 3844-362 Marco de Canaveses",clínica geral
278128657,Rúben Domingues-Anjos,938335411,"Rua Maia 84, 4737-597 Peso da Régua",clínica geral
107049996,William Nascimento,938578802,"Rua dos Moinhos 95, 3597-751 Estarreja",clínica geral
122830388,Catarina Nascimento,964845936,"Avenida Paiva 2, 9389-465 Almada",clínica geral
236859574,Hugo Gomes,938627495,"Rua Freitas 954, 0155-214 Viseu",clínica geral
189068288,Marta Loureiro,963493096,"Avenida Valente 99, 5348-050 Estarreja",clínica geral
236075983,Sérgio Tavares,935634312,"Avenida Mia Jesus 90, 1529-461 Vila Real de Santo António",clínica geral
286756508,Naiara Azevedo,969792947,"Rua de Ribeiro 38, 9812-336 Vila Nova de Famalicão",clínica geral
389957903,Rafael Nascimento,918222754,"Travessa de Monteiro 7, 5185-888 Oliveira do Bairro",clínica geral
128921840,Jéssica-Constança Cardoso,936313411,"Avenida Jéssica Campos 637, 4226-761 Miranda do Douro",clínica geral
311070434,Leonardo Cunha-Paiva,913657120,"Rua Lourenço 881, 6964-566 Aveiro",clínica geral
219254122,Martim Sousa,960903078,"Avenida Andrade 132, 8858-495 Macedo de Cavaleiros",clínica geral
248244757,Soraia Rocha,939754192,"Rua de Batista 208, 6540-966 Portalegre",cirurgia geral
371046563,Júlia Nascimento,931363776,"Rua de Godim 38, 5182-875 Ílhavo",pediatria
141483960,Márcio Vaz,962334789,"Alameda Luna Castro 23, 5537-757 Santana",ortopedia
330620278,Micael Baptista,916374579,"Praça Fonseca 3, 6610-127 Torres Novas",ortopedia
168387380,Rodrigo Barbosa-Fonseca,931310007,"Avenida Matias Alves 46, 0836-225 Caldas da Rainha",ortopedia
269560423,David Ramos,965694362,"Avenida dos Combatentes da Grande Guerra 7, 0838-981 Reguengos de Monsaraz",ortopedia
104114426,Lourenço Faria,962006280,"Alameda Baptista 81, 8300-474 Freamunde",psiquiatria
194208093,Leonor Machado,969642174,"Alameda do Falcão 7, 3745-249 Fundão",ortopedia
197298063,Isaac Matos,960080820,"Rua de Figueiredo 64, 4970-224 Guarda",pediatria
351396937,Ricardo Moreira,934161307,"Rua de Carreiras 9, 6311-200 Póvoa de Varzim",cardiologia
316487059,César Matias,912437654,"Avenida Marco Lourenço 5, 6523-425 Viana do Castelo",pediatria
164023592,Lara Borges-Silva,934330992,"Rua de Teixeira 50, 9574-900 Figueira da Foz",ortopedia
256341685,Filipa Fernandes,965698805,"Alameda Rocha 43, 1368-294 Entroncamento",cirurgia geral
387831012,Vera Pacheco,968683861,"Rua da Ilha dos Amores 52, 8836-466 Tomar",cardiologia
122834598,Eduardo Neves,914914212,"Avenida Camila Andrade 73, 3110-673 Torres Novas",pediatria
245551439,Miriam Alves,910360018,"Rua de Esteves 29, 0709-224 Anadia",pediatria
