nif,nome,telefone,morada,nome_clinica
129141777,Lorena-Clara Teixeira,914549817,"Largo Carneiro 53, 4852-791 Trofa",JCS Almirante Reis
363170669,Amélia da Costa,964104090,"Travessa Ariana Cunha 80, 5682-808 Marco de Canaveses",JCS Almirante Reis
107439150,Bianca Cruz,961610339,"Rua Ramos 417, 6625-729 Lagos",JCS Almirante Reis
200806360,Renata-Leonor Pinho,916217232,"Avenida do Monte da Lapa 44, 8038-790 Macedo de Cavaleiros",JCS Almirante Reis
183778353,Martim Barros,931668484,"Travessa Gustavo Nunes 5, 9472-857 Ermesinde",JCS Almirante Reis
237406812,Francisca Moura,967513500,"Travessa Fernando Amaral 191, 8421-859 Santarém",JCS Almirante Reis
241586834,Alice Henriques,910495765,"Avenida Matos 575, 5971-663 Montemor-o-Novo",JCS Brandoa
249786907,Flor Alves,936115971,"Travessa do Caminho Novo 8, 5806-966 Ílhavo",JCS Brandoa
336625851,Emanuel Henriques,964398754,"Travessa Luna Alves 72, 2190-546 Faro",JCS Brandoa
278128657,Yasmin-Carlota Leal,912834335,"Rua 25 de Abril 50, 9615-170 Torres Vedras",JCS Brandoa
107049996,Ema Fonseca,961417195,"Travessa de Cima 93, 3541-185 Trancoso",JCS Brandoa
122830388,Jorge Oliveira,913640525,"Travessa de Lima 73, 2749-534 Alverca do Ribatejo",JCS Venda Nova
236859574,Rita Nogueira,939435189,"Rua do Freixo 23, 9792-947 Estarreja",JCS Venda Nova
189068288,Vitória Nogueira,939913303,"Travessa de Magalhães 2, 4113-657 Gandra",JCS Venda Nova
236075983,Bernardo do Andrade,966148110,"Rua Sousa 172, 8975-419 Chaves",JCS Venda Nova
286756508,David Carvalho,910457721,"Praça Caetana Lourenço 4, 4789-637 Penafiel",JCS Venda Nova
389957903,Miguel Cunha,938518222,"Avenida Bryan Almeida 78, 5694-362 Alverca do Ribatejo",JCS Dafundo
128921840,William Jesus-Pinto,912541894,"Avenida Isabel Lourenço 22, 4008-082 Mirandela",JCS Dafundo
311070434,Erika da Leal,962328059,"Rua Amaral 52, 7654-433 Fundão",JCS Dafundo
219254122,Bárbara Gaspar,918324682,"Largo Oliveira 48, 1491-421 Barreiro",JCS Dafundo
248244757,Rafael do Moreira,930341768,"Avenida Rocha 128, 8515-028 Santo Tirso",JCS Dafundo
371046563,Nuno Oliveira,934878706,"Avenida de Antero de Figueiredo 24, 5140-604 Espinho",JCS Dafundo
141483960,Isaac Andrade,915247069,"Travessa Barbosa 93, 5586-971 Seia",JCS Queijas
330620278,Ariana Lourenço,930059292,"Rua Vasco Macedo 25, 5291-048 Sacavém",JCS Queijas
168387380,Daniel Leal,962446962,"Travessa de Henriques 188, 2555-917 São Mamede de Infesta",JCS Queijas
269560423,Renato Pinho,969137028,"Avenida de Passos Manuel 219, 0879-439 Portimão",JCS Queijas
104114426,Ariana Pereira,915873357,"Praça de Pinto 98, 0243-921 Sabugal",JCS Queijas
194208093,Emma Paiva-Azevedo,917365894,"Avenida de Cruz 91, 1328-609 Tarouca",JCS Queijas
