nif,nome,telefone,morada,especialidade
191417776,Noa Araújo,936390765,"Rua de Pires 40, 6202-786 Valbom",clínica geral
117066907,César Mota-Melo,938280814,"Alameda Soares 75, 4230-411 Olhão",clínica geral
239150008,Pilar Lourenço,961412917,"Rua de Almeida 40, 2980-635 Horta",clínica geral
163608377,Carlos Moreira,916662572,"Avenida do Ouro 94, 0596-402 Paços de Ferreira",clínica geral
335337406,José Matias,967316986,"Rua Artur Agostinho 916, 8783-101 Funchal",clínica geral
312415868,Sérgio Melo,914436803,"Largo de Pinto 64, 5143-972 Paredes",clínica geral
334497869,Tomé Esteves-Pinho,967900934,"Alameda Campos 6, 9961-983 Mealhada",clínica geral
173662585,Igor Amaral,912428344,"Praça Freitas 87, 4090-161 Gondomar",clínica geral
178128657,André Santos,964728576,"Avenida Caetana Carvalho 232, 6848-475 Lagoa",clínica geral
307049996,Alexandra Lourenço-Sousa,913963410,"Avenida Gaspar 895, 5611-597 Mangualde",clínica geral
322830388,Leonardo Valente,919084218,"Travessa de Coelho 53, 3514-171 Lixa",clínica geral
168595748,Micael Domingues,939468585,"Largo Coelho 59, 5189-991 Leiria",clínica geral
306828836,Lúcia Oliveira,911775486,"Avenida da Ilha dos Amores 21, 0457-721 Caldas da Rainha",clínica geral
175983867,Ivo de Soares,939716638,"Rua Rui Gonçalves 79, 2328-059 Fátima",clínica geral
265088995,William da Gaspar,914983798,"Avenida Petra Simões 5, 7684-878 Albufeira",clínica geral
290328921,Leandro Pacheco,934279835,"Travessa Diana Amaral 169, 5929-224 Reguengos de Monsaraz",clínica geral
340110704,Edgar Ribeiro,960696659,"Rua Moreira 88, 8587-335 São Mamede de Infesta",clínica geral
141925412,Caetana Vieira,961734062,"Travessa de Rodrigues 1, 8528-344 Vila Nova de Gaia",clínica geral
148244757,Tatiana Torres,966421905,"Avenida Panorâmica 130, 2246-390 Rebordosa",clínica geral
210465634,Laura do Simões,936842747,"Avenida Fabiana Baptista 51, 2917-366 Freamunde",clínica geral
148396030,Henrique Garcia,917804819,"Praça Leonardo Borges 99, 1443-680 Valpaços",ortopedia
220278683,Lúcia-Madalena Machado,931517028,"Rua Figueiredo 3, 2834-494 Funchal",cirurgia geral
387380695,Amélia-Luna Fernandes,962164943,"Avenida do Seminário 7, 4101-908 Esposende",pediatria
360423041,Larissa Simões,963354118,"Alameda de Moura 658, 1775-486 Viseu",psiquiatria
144269420,Joaquim Oliveira,965788024,"Alameda Amélia Carvalheira 50, 7986-427 Portimão",pediatria
309397298,Benedita Matos,968459368,"Alameda das Galeotas ao Parque das Nações 29, 3406-264 Bragança",cardiologia
163513969,Bruna de Neto,932749534,"Alameda de Sousa 34, 4727-804 Santa Cruz",cardiologia
171648705,Juliana Moreira,963096563,"Praça Alves 9, 1649-438 Loures",cirurgia geral
364023592,Manuel Andrade,933129792,"Avenida Tavares 85, 2484-593 Vila Real",psiquiatria
263416858,Sofia Ramos,964782227,"Travessa da Baleia 45, 9309-656 Mealhada",cardiologia
283101222,Miriam-Kelly Rodrigues,934631341,"Praça Jéssica Vaz 5, 8222-754 Lourosa",psiquiatria
334598455,Diogo Moura,913657120,"Avenida de Barros 7, 7120-090 Amadora",psiquiatria
214397298,Alexandre de Nunes,919030789,"Travessa de Borges 22, 6377-623 Montijo",pediatria
150616225,Emília Magalhães-Nascimento,935419213,"Praça Pilar Figueiredo 27, 1000-756 Guarda",cirurgia geral
199619839,Mia Lima,933776233,"Avenida André Macedo 9, 9642-174 Amarante",cardiologia
145498174,Fabiana Silva,937896374,"Travessa Borges 41, 7243-765 Marinha Grande",psiquiatria
104090161,Nair Vaz-Abreu,937913100,"Rua Leite 99, 5868-386 Mealhada",ortopedia
133962172,Yasmin Vicente,917569436,"Avenida Henrique Antunes 7, 0187-851 Amora",pediatria
332166848,Camila do Pacheco,912006280,"Rua do José da Mestra 17, 1451-406 Marinha Grande",psiquiatria
275135000,Leonardo Antunes,966421740,"Alameda de Batista 741, 8835-586 Costa da Caparica",cardiologia
295765611,Joana Paiva,918082041,"Travessa Vieira 4, 6851-652 Anadia",ortopedia
297143987,Débora Moura-Maia,931307243,"Travessa dos Jacarandás 64, 8125-559 Seixal",cirurgia geral
354283433,Isabela Marques,967654433,"Largo de Belém 11, 0879-439 Portimão",psiquiatria
214171953,Adriana Nogueira,919925698,"Praça de Pinto 98, 0243-921 Sabugal",cirurgia geral
240525943,Nádia Ramos-Jesus,968058683,"Avenida de Cruz 91, 1328-609 Tarouca",psiquiatria
218999133,Naiara Amaral,968614914,"Praça Manuel Martins 95, 7146-308 Trofa",ortopedia
136148110,Rui de Oliveira,911203600,"Alameda da Boavista 17, 4081-485 Valongo",psiquiatria
304577218,Daniela-Benedita Oliveira,961878515,"Praça de Gomes 9, 9282-406 Porto Santo",cirurgia geral
218222254,Ângelo Soares-Assunção,912807267,"Avenida de Baptista 21, 6474-575 Serpa",cirurgia geral
189423280,Álvaro Melo,918414514,"Rua de Marques 1, 4529-464 Santa Comba Dão",cirurgia geral
298324682,Vítor Freitas,916045246,"Praça de Cunha 776, 1232-301 Felgueiras",cirurgia geral
134176848,Gil de Reis,914163883,"Rua João Glama 204, 6908-386 Angra do Heroísmo",psiquiatria
