ssn,nif,nome,telefone,morada,data_nasc
22914177763,135961733,Lia Soares,934862511,"Rua Eva Nunes 35, 8288-957 Vila Franca de Xira",1997-07-26
27066907439,349329945,Inês Martins,917243241,"Avenida Assunção 683, 6963-950 Trancoso",2002-09-04
95000806360,155304102,Lara-Laura Miranda,962085833,"Largo Benjamim Vieira 52, 4777-992 Lamego",1965-07-24
13778353374,248489169,Mia-Mara Cunha,965927981,"Largo Gonçalo Teixeira 53, 4467-671 Santana",1958-08-03
46812415868,104634709,Sebastião Vicente,933090804,"Travessa Santos 189, 9522-192 Alverca do Ribatejo",2000-09-08
74497869073,291401508,Matias Rocha,935948484,"Travessa Baptista 5, 3560-763 Trofa",2018-07-29
96258517812,286633208,Leonardo Torres,967274789,"Travessa Daniel Marques 90, 7054-205 Évora",1941-01-18
76570704999,259392727,Leonor Maia-Oliveira,960194692,"Rua Carneiro 18, 6656-388 Guarda",1996-02-26
92283038836,391991129,Mauro Simões,961322617,"Avenida Cláudio Ferreira 8, 8111-953 Ílhavo",2017-03-22
35957489068,296034823,Jorge Monteiro,969250778,"Praça Lisandro Soares 70, 1043-883 Póvoa de Varzim",1961-04-17
98836075983,104109066,Bruna Araújo,914469391,"Rua Carminho Nogueira 21, 9867-175 Lamego",1923-06-24
66756508899,160913343,Denis Pinheiro,916948623,"Rua Machado 42, 3697-062 Olhão",1934-06-13
57903289218,281387437,Violeta Brito,968028543,"Alameda de Aquilino Ribeiro 84, 4812-852 Rio Tinto",1945-08-18
30110704341,126336625,Gonçalo Brito,961047448,"Largo do Bicalho 61, 9399-309 Vizela",1910-02-23
85412248244,263903048,Alícia Silva,919468197,"Largo Nacional 108 43, 4726-191 Gandra",1976-03-11
55771046563,253581255,Caetana Soares,939065198,"Largo da Ilha dos Amores 9, 9657-136 Vila Nova de Famalicão",1960-12-14
31483960306,383863575,Vera de Sá,969300433,"Avenida de Mota 50, 0982-357 Gafanha da Nazaré",1911-05-23
90278683873,188181388,Francisca Freitas-Maia,936273084,"Avenida das Mimosas 7, 3298-717 Trancoso",1945-11-22
50695604230,394936516,Luna Moreira,932051325,"Rua de Jesus 98, 9235-021 Queluz",1975-09-07
91144269420,223571992,Emma da Rocha,919157821,"Rua de Figueiredo 86, 3711-381 Albufeira",1953-05-03
40939729806,288930690,Emanuel Carvalho,932933896,"Avenida de Rodrigues 36, 7058-698 Guimarães",1934-12-10
55139693716,327587228,Jaime Matos,964697953,"Rua da Ranha 23, 9058-703 Ovar",1927-02-02
68705964023,174167699,Joel Araújo,967252616,"Alameda do Aleixo 162, 2668-458 Peniche",1996-03-14
99256341685,378340068,Joaquim Fernandes,937849110,"Rua Ribeiro 506, 3756-146 Esmoriz",2003-06-06
47831012228,189484031,Renata Sousa,930349418,"Travessa de São Francisco 28, 5043-593 Vila Nova de Santo André",2024-04-30
44598455514,261354533,Vicente de Torres,968828279,"Alameda das Nações 40, 4876-840 Vila Real de Santo António",1937-04-19
79729815061,159637091,Nair da Araújo,961040755,"Avenida da Rainha 814, 8914-675 Paços de Ferreira",1941-06-17
42251996198,167363268,Carolina Nascimento,913675038,"Avenida Jorge Miranda 83, 7134-902 Vila Nova de Santo André",1994-09-08
29145498174,188188015,Ivan Mendes,918793908,"Avenida Fernandes 18, 3031-197 Chaves",1983-05-01
40409016103,352291430,Lucas Costa,918724464,"Avenida de Macedo 64, 6792-398 Leiria",1971-09-28
79621723216,395669869,Naiara-Miriam Vieira,932364399,"Praça Ângelo Pinto 69, 3747-449 Fiães",1998-06-17
