nif,nome,dia_da_semana
129141777,JCS Queijas,1
129141777,JCS Queijas,6
129141777,JCS Dafundo,2
129141777,JCS Dafundo,3
129141777,JCS Venda Nova,7
129141777,JCS Venda Nova,4
129141777,JCS Almirante Reis,5
363170669,JCS Venda Nova,4
363170669,JCS Venda Nova,5
363170669,JCS Venda Nova,3
363170669,JCS Venda Nova,2
363170669,JCS Dafundo,7
363170669,JCS Queijas,1
363170669,JCS Brandoa,6
107439150,JCS Dafundo,1
107439150,JCS Dafundo,3
107439150,JCS Dafundo,6
107439150,JCS Dafundo,7
107439150,JCS Dafundo,4
107439150,JCS Dafundo,5
107439150,JCS Brandoa,2
200806360,JCS Dafundo,3
200806360,JCS Dafundo,1
200806360,JCS Brandoa,5
200806360,JCS Queijas,7
200806360,JCS Venda Nova,2
200806360,JCS Almirante Reis,6
200806360,JCS Almirante Reis,4
183778353,JCS Queijas,5
183778353,JCS Queijas,6
183778353,JCS Almirante Reis,3
183778353,JCS Almirante Reis,2
183778353,JCS Dafundo,7
183778353,JCS Brandoa,4
183778353,JCS Venda Nova,1
237406812,JCS Almirante Reis,2
237406812,JCS Almirante Reis,5
237406812,JCS Dafundo,6
237406812,JCS Queijas,3
237406812,JCS Brandoa,1
237406812,JCS Brandoa,4
237406812,JCS Venda Nova,7
241586834,JCS Brandoa,7
241586834,JCS Brandoa,1
241586834,JCS Brandoa,3
241586834,JCS Brandoa,6
241586834,JCS Brandoa,2
241586834,JCS Queijas,5
241586834,JCS Almirante Reis,4
249786907,JCS Queijas,4
249786907,JCS Queijas,1
249786907,JCS Queijas,2
249786907,JCS Queijas,7
249786907,JCS Queijas,6
249786907,JCS Brandoa,5
249786907,JCS Dafundo,3
336625851,JCS Queijas,5
336625851,JCS Queijas,3
336625851,JCS Queijas,6
336625851,JCS Venda Nova,4
336625851,JCS Brandoa,2
336625851,JCS Dafundo,1
336625851,JCS Dafundo,7
278128657,JCS Dafundo,2
278128657,JCS Dafundo,7
278128657,JCS Brandoa,6
278128657,JCS Brandoa,1
278128657,JCS Brandoa,5
278128657,JCS Brandoa,3
107049996,JCS Dafundo,6
107049996,JCS Dafundo,3
107049996,JCS Dafundo,1
107049996,JCS Dafundo,2
107049996,JCS Almirante Reis,5
107049996,JCS Brandoa,4
122830388,JCS Queijas,3
122830388,JCS Brandoa,5
122830388,JCS Brandoa,4
122830388,JCS Brandoa,7
122830388,JCS Venda Nova,6
122830388,JCS Dafundo,1
236859574,JCS Venda Nova,1
236859574,JCS Dafundo,4
236859574,JCS Brandoa,5
236859574,JCS Almirante Reis,3
236859574,JCS Almirante Reis,2
236859574,JCS Almirante Reis,6
236859574,JCS Queijas,7
189068288,JCS Queijas,2
189068288,JCS Queijas,5
189068288,JCS Queijas,6
189068288,JCS Almirante Reis,1
189068288,JCS Dafundo,3
189068288,JCS Venda Nova,4
189068288,JCS Brandoa,7
236075983,JCS Queijas,6
236075983,JCS Queijas,4
236075983,JCS Queijas,1
236075983,JCS Queijas,7
236075983,JCS Queijas,2
236075983,JCS Queijas,5
236075983,JCS Venda Nova,3
286756508,JCS Almirante Reis,6
286756508,JCS Almirante Reis,4
286756508,JCS Queijas,2
286756508,JCS Queijas,3
389957903,JCS Dafundo,5
389957903,JCS Dafundo,7
389957903,JCS Dafundo,4
389957903,JCS Dafundo,3
389957903,JCS Almirante Reis,6
128921840,JCS Brandoa,5
128921840,JCS Brandoa,7
128921840,JCS Venda Nova,2
128921840,JCS Venda Nova,1
128921840,JCS Venda Nova,3
128921840,JCS Almirante Reis,4
128921840,JCS Dafundo,6
311070434,JCS Venda Nova,7
311070434,JCS Venda Nova,3
311070434,JCS Almirante Reis,1
311070434,JCS Almirante Reis,2
311070434,JCS Almirante Reis,5
311070434,JCS Dafundo,6
311070434,JCS Queijas,4
219254122,JCS Queijas,4
219254122,JCS Queijas,6
219254122,JCS Brandoa,2
219254122,JCS Brandoa,1
219254122,JCS Venda Nova,5
219254122,JCS Venda Nova,7
219254122,JCS Dafundo,3
248244757,JCS Dafundo,5
248244757,JCS Venda Nova,4
248244757,JCS Venda Nova,1
248244757,JCS Venda Nova,3
248244757,JCS Brandoa,7
248244757,JCS Queijas,6
371046563,JCS Almirante Reis,5
371046563,JCS Almirante Reis,4
371046563,JCS Venda Nova,2
371046563,JCS Venda Nova,6
371046563,JCS Venda Nova,1
371046563,JCS Venda Nova,7
371046563,JCS Venda Nova,3
141483960,JCS Venda Nova,6
141483960,JCS Dafundo,4
141483960,JCS Almirante Reis,5
141483960,JCS Almirante Reis,1
141483960,JCS Almirante Reis,3
141483960,JCS Brandoa,7
141483960,JCS Queijas,2
330620278,JCS Queijas,4
330620278,JCS Queijas,1
330620278,JCS Queijas,7
330620278,JCS Queijas,5
330620278,JCS Brandoa,6
330620278,JCS Venda Nova,3
330620278,JCS Dafundo,2
168387380,JCS Brandoa,6
168387380,JCS Brandoa,4
168387380,JCS Brandoa,2
168387380,JCS Almirante Reis,1
168387380,JCS Almirante Reis,7
168387380,JCS Almirante Reis,5
269560423,JCS Brandoa,2
269560423,JCS Almirante Reis,7
269560423,JCS Venda Nova,6
269560423,JCS Venda Nova,1
269560423,JCS Venda Nova,5
269560423,JCS Dafundo,4
269560423,JCS Queijas,3
104114426,JCS Queijas,1
104114426,JCS Queijas,3
104114426,JCS Queijas,2
104114426,JCS Brandoa,5
104114426,JCS Venda Nova,6
104114426,JCS Dafundo,4
104114426,JCS Almirante Reis,7
194208093,JCS Dafundo,2
194208093,JCS Dafundo,3
194208093,JCS Venda Nova,6
194208093,JCS Venda Nova,7
194208093,JCS Venda Nova,4
197298063,JCS Almirante Reis,5
197298063,JCS Almirante Reis,6
197298063,JCS Almirante Reis,1
197298063,JCS Venda Nova,7
